nproc,global_n,v1_ms,v2_ms,v3_ms
 1,    10000, 0.006741, 0.006721, 0.006739
 2,    10000, 0.004371,  0.00435, 0.004272
 4,    10000, 0.003607, 0.003336, 0.003343
 6,    10000, 0.003828, 0.002945, 0.003324
 8,    10000, 0.004524, 0.003163, 0.003073
10,    10000, 0.006265,  0.00385, 0.004264
12,    10000,  0.00695, 0.004686, 0.004644
14,    10000,  0.00687, 0.003978, 0.004297
16,    10000,  0.00672, 0.003187, 0.003264
 1,  1000000,   0.6728,   0.6709,    0.671
 2,  1000000,   0.3405,    0.337,   0.3375
 4,  1000000,   0.1736,   0.1716,   0.1707
 6,  1000000,   0.1185,   0.1152,   0.1154
 8,  1000000,  0.09065,  0.08727,    0.087
10,  1000000,  0.07657,  0.07106,  0.07136
12,  1000000,  0.06543,  0.06106,  0.06073
14,  1000000,  0.05742,  0.05241,  0.05237
16,  1000000,  0.05159,  0.04563,  0.04563
